,ARGENTINA,AUSTRIA,AUSTRALIA,BELGIUM,BRAZIL,CANADA,SWITZERLAND,CHINA,CZECH-REPUBLIC,GERMANY,DENMARK,SPAIN,FINLAND,FRANCE,UNITED-KINGDOM,HONG-KONG,INDONESIA,IRELAND,INDIA,ITALY,JAPAN,SOUTH-KOREA,LUXEMBOURG,MEXICO,MALAYSIA,NETHERLANDS,NORWAY,NEW-ZEALAND,PERU,PHILIPPINES,POLAND,PORTUGAL,ROMANIA,RUSSIA,SWEDEN,SINGAPORE,THAILAND,TAIWAN,SOUTH-AFRICA
Actual,89.40,70.40,45.10,98.60,75.79,89.70,41.00,50.50,30.80,59.80,33.20,95.50,59.40,98.10,80.70,38.40,29.80,58.80,69.62,134.80,236.60,36.60,22.10,45.50,51.80,48.60,40.60,19.00,27.50,41.50,46.00,117.70,35.20,12.20,35.10,126.30,41.80,30.90,62.20
Previous,86.00,74.00,41.50,99.80,76.53,90.10,41.00,46.80,32.60,61.90,33.90,97.60,59.60,98.10,82.40,37.00,28.70,63.60,68.30,134.80,238.20,36.30,21.00,46.00,50.70,52.40,39.40,19.60,25.80,41.80,48.80,122.00,34.70,13.50,38.80,112.20,41.20,30.80,56.70
Highest,166.70,84.90,45.10,133.10,76.53,100.20,59.10,50.50,44.90,82.40,58.10,100.40,63.60,98.30,82.90,38.40,87.43,119.90,83.23,135.30,238.20,39.90,23.70,48.20,80.74,73.10,53.70,54.80,49.00,74.90,56.00,131.50,39.20,92.10,72.40,126.30,57.80,34.00,62.20
Lowest,34.50,56.10,9.70,74.10,51.27,44.90,25.10,20.40,11.60,54.90,27.30,16.60,6.10,20.70,21.70,13.70,22.96,23.60,47.94,90.50,50.60,8.24,7.40,17.90,31.80,43.00,28.70,4.40,20.00,41.50,36.50,50.30,6.60,6.50,35.10,67.40,15.20,11.19,27.80
Dates,1997 - 2019,1988 - 2019,1989 - 2019,1980 - 2019,2006 - 2019,1980 - 2018,1982 - 2019,1995 - 2018,1995 - 2019,1995 - 2019,1999 - 2019,1980 - 2019,1975 - 2019,1980 - 2019,1975 - 2019,1988 - 2016,2000 - 2018,1980 - 2019,1980 - 2019,1988 - 2019,1980 - 2019,1990 - 2018,1995 - 2019,1990 - 2019,1990 - 2018,1995 - 2019,1980 - 2019,1972 - 2019,2000 - 2019,1990 - 2019,1995 - 2019,1990 - 2019,1995 - 2019,1999 - 2018,1994 - 2019,1993 - 2019,1996 - 2018,1992 - 2018,2000 - 2019
2019,89.06765957446807,70.3948905109489,45.10000000000001,98.49423076923077,75.78392405063292,,37.12620087336245,,30.85932835820896,59.854954954954955,33.31274900398407,95.2954314720812,59.392682926829266,98.01678832116788,80.65412844036697,,,58.77970479704797,69.57507537688443,134.7423236514523,236.77878787878785,,22.07,45.5922131147541,,48.57407407407406,40.61489361702128,18.950627615062764,27.55982905982906,41.49999999999999,45.98409090909091,117.67117903930131,35.21832061068703,,35.10000000000001,126.3,,,62.20000000000001
2018,85.6923404255319,73.96861313868612,41.419801980198024,99.62884615384615,76.53,89.7071794871795,37.12620087336245,50.5,32.598880597014926,61.96081081081081,33.92629482071713,97.4223350253807,59.673170731707316,98.01678832116788,82.33853211009175,,30.029078947368433,63.754612546125465,68.33371859296483,134.7423236514523,238.19999999999996,36.671921568627454,21.00695652173913,46.088934426229514,51.80156521739131,52.413991769547316,39.33829787234043,19.58326359832636,25.824786324786324,41.872490706319695,48.820454545454545,121.92620087336243,34.720610687022905,12.159504132231405,38.7774647887324,112.27619047619048,41.84691358024692,30.853793103448275,56.65619834710745
2017,56.439574468085084,78.27810218978102,41.069306930693074,101.61442307692307,73.75886075949367,90.27435897435899,39.20480349344979,46.78395061728395,34.711194029850745,65.30540540540541,35.88964143426294,98.6984771573604,61.35609756097561,98.3,82.9,,28.89802631578948,68.01881918819188,68.86572864321609,133.998755186722,237.48939393939392,36.29945098039216,22.282608695652176,46.088934426229514,50.73765217391304,56.87325102880658,37.742553191489364,21.69205020920502,25.45299145299145,42.12081784386616,50.59318181818182,126.18122270742357,35.093893129771,13.574380165289256,40.70375586854461,110.59333333333333,41.32098765432099,30.76639846743295,53.10247933884298
2016,53.06425531914891,82.9029197080292,40.543564356435645,104.73461538461538,69.8153164556962,91.97589743589745,38.16550218340612,44.18271604938272,36.82350746268657,69.26936936936937,37.2394422310757,99.1238578680203,63.31951219512196,98.01678832116788,79.8119266055046,38.4,28.04973684210526,74.05977859778598,68.15638190954775,134.7423236514523,236.06818181818178,39.9,20.085652173913044,48.2,52.865478260869565,61.82798353909464,37.21063829787234,24.01171548117155,24.585470085470085,42.12081784386616,54.31590909090909,131.5,37.33358778625955,12.86694214876033,42.27981220657278,111.4347619047619,40.79506172839506,31.203371647509577,51.53884297520662
2015,52.50170212765957,84.9,37.739603960396046,105.01826923076922,65.5520253164557,91.40871794871796,39.501746724890836,41.08600823045268,40.05410447761194,72.11846846846848,39.81633466135458,99.1238578680203,63.60000000000001,95.46788321167882,80.37339449541285,37.015948275862065,26.918684210526322,76.90258302583027,68.51105527638191,135.3,231.80454545454543,39.527529411764704,21.999130434782607,44.10204918032787,54.56773913043478,64.55308641975307,33.380851063829795,24.644351464435147,24.08974358974359,44.728252788104086,51.30227272727272,131.14541484716156,37.83129770992367,13.574380165289256,43.85586854460095,103.3009523809524,44.476543209876546,31.552950191570883,49.26446280991736
